Hylak_id,Lake_name,lake_class
8838,Burt Lake,Cool temperate and dry
8841,Lac Magog,Cold and mesic
8848,Lake Charlevoix,Cool temperate and dry
8851,Bighorn Lake,Cool temperate and xeric
8852,Big Stone Lake,Cool temperate and dry
8861,Memphremegog,Cold and mesic
8869,Long Falls,Cold and mesic
8876,Grand Lake,Cold and mesic
8878,Marsh Lake,Cool temperate and dry
8892,Lac Qui Parle Reservoir,Cool temperate and dry
8897,Clark Canyon,Cool temperate and dry
8910,Paint Creek,Cool temperate and dry
8917,Great Moose Lake,Cold and mesic
8923,Mooselookmeguntic Lake,Cold and mesic
8924,Hebgen Lake,Cold and mesic
8928,Torch Lake,Cool temperate and dry
8933,Brownlee,Cool temperate and xeric
8945,Belle Fourche,Cool temperate and dry
8965,Billy Chinook Lake,Cool temperate and xeric
8973,Messalonskee Lake,Cold and mesic
8978,Lake Cascade,Cool temperate and dry
8979,Lake Desmet,Cool temperate and dry
8980,Buffalo Bill,Cool temperate and dry
8985,Green Peter Lake,Cool temperate and moist
8991,Island Park,Cold and mesic
8993,Houghton Lake,Cool temperate and dry
8994,Keyhole,Cool temperate and dry
9003,Rice,Cool temperate and dry
9004,Deadwood,Cold and mesic
9007,Number 8,Cold and mesic
9011,Upper Saranac Lake,Cold and mesic
9013,Raquette Pond,Cold and mesic
9019,Fern Ridge Lake,Warm temperate and mesic
9023,Petenwell Lake,Cool temperate and dry
9031,Lookout Point Lake,Warm temperate and mesic
9034,Siltcoos Lake,Cool temperate and moist
9038,Castle Rock Lake,Cool temperate and dry
9040,Princeton,Cool temperate and dry
9043,Crane Prairie,Cold and mesic
9047,Wickiup Reservoir,Cool temperate and dry
9050,Lake Owyhee,Cool temperate and xeric
9055,Warm Springs,Cool temperate and xeric
9056,Lake Lowell,Cool temperate and xeric
9061,Crescent Lake,Cold and mesic
9062,Winnisquam Lake,Cold and mesic
9066,Boysen,Cool temperate and xeric
9068,Lake Sunapee,Cold and mesic
